provider,model,operation,sample_size,avg_ratio,std_ratio,min_ratio,max_ratio
dmxapi,qwen-turbo-latest,salesrag_tagging,76,0.0292,0.0059,0.0220,0.0502
dmxapi,claude-sonnet-4-6,sop_node_execute,35,1.8265,1.6511,0.0674,5.2596
dmxapi-ssvip,claude-sonnet-4-6,sop_node_execute,26,14.8132,18.1628,0.2128,63.6250
dmxapi-ssvip,gemini-3.1-pro-preview,chatbot_chat,19,0.0969,0.0422,0.0284,0.1975
dmxapi-ssvip,gemini-3.1-pro-preview,sop_node_execute,19,8.4770,11.8312,0.0791,35.6429
dmxapi,gemini-3.1-pro-preview,chatbot_chat,14,0.2257,0.2164,0.0253,0.9163
dmxapi-ssvip,claude-sonnet-4-6-thinking,sop_node_execute,11,1.3144,1.4047,0.2424,4.8173
volc,deepseek-v3-2-251201,chatbot_chat,10,0.4362,0.3298,0.0068,1.0417
dmxapi-ssvip,gpt-5.4,sop_node_execute,8,0.4078,0.4824,0.0200,1.2288
dmxapi-ssvip,gemini-3.1-pro-preview,sop_chat_stream,7,0.3348,0.4081,0.0055,1.1783
dmxapi-ssvip,claude-sonnet-4-6-thinking,chatbot_chat,6,0.4048,0.3949,0.0854,1.1577
dmxapi-ssvip,claude-sonnet-4-6,chatbot_chat,5,0.0412,0.0209,0.0063,0.0712
dmxapi,DeepSeek-V3.2-Thinking,sop_node_execute,5,11.7838,8.095,1.7800,22.5000
dmxapi-ssvip,deepseek-v3.2,sop_node_execute,4,0.4325,0.3276,0.1230,0.9764
dmxapi,gpt-5.4,sop_node_execute,2,25.4439,25.4245,0.0195,50.8684
aihubmix,claude-sonnet-4-6-think,sop_node_execute,2,0.2511,0.0057,0.2454,0.2569
aihubmix,deepseek-v3.2,chatbot_chat,2,0.1006,0.0779,0.0226,0.1785
aihubmix,gpt-5.4,chatbot_chat,2,0.1567,0.0067,0.1501,0.1634
aihubmix,claude-sonnet-4-6-think,chatbot_chat,2,0.0510,0.0198,0.0312,0.0708
dmxapi,claude-sonnet-4-6,chatbot_chat,2,0.0302,0.0007,0.0294,0.0309
dmxapi,claude-sonnet-4-6-thinking,chatbot_chat,2,0.0198,0.0187,0.0011,0.0385
dmxapi,gemini-3.1-pro-preview-thinking,chatbot_chat,2,1.6564,1.5012,0.1551,3.1576
dmxapi,gpt-5.4,chatbot_chat,2,0.2248,0.0919,0.1329,0.3167
dmxapi,gemini-3.1-pro-preview-thinking,sop_node_execute,2,17.5378,12.3394,5.1984,29.8772
ali,qwen3-vl-flash-2026-01-22,ali_vision_analyze,1,0.9281,0,0.9281,0.9281
dmxapi,DeepSeek-V3.2,chatbot_chat,1,0.0472,0,0.0472,0.0472
dmxapi-ssvip,claude-sonnet-4-6-thinking,sop_chat_stream,1,0.0515,0,0.0515,0.0515
dmxapi-ssvip,gpt-5.4,chatbot_chat,1,0.1796,0,0.1796,0.1796
dmxapi-ssvip,deepseek-v3.2,chatbot_chat,1,0.0268,0,0.0268,0.0268
dmxapi,DeepSeek-V3.2-Thinking,chatbot_chat,1,0.1061,0,0.1061,0.1061
dmxapi,claude-sonnet-4-6-thinking,sop_node_execute,1,3.5564,0,3.5564,3.5564
aihubmix,gemini-3.1-pro-preview,chatbot_chat,1,0.8361,0,0.8361,0.8361
aihubmix,gemini-3.1-pro-preview,sop_node_execute,1,25.7541,0,25.7541,25.7541
aihubmix,deepseek-v3.2,sop_node_execute,1,18.7975,0,18.7975,18.7975
dmxapi,DeepSeek-V3.2,sop_node_execute,1,5.8846,0,5.8846,5.8846
aihubmix,gpt-5.4,sop_chat_stream,1,2.1049,0,2.1049,2.1049
aihubmix,claude-sonnet-4-6,chatbot.stream,1,0.0288,0,0.0288,0.0288
